date,avgBikeDuration,avgBikeDistance,totalBikeTrips
2021-03-27,0 days 00:26:01.469284162,2.213448604706594,84712
2021-03-28,0 days 00:24:07.890283496,1.823250308863806,25256
2021-03-29,0 days 00:18:51.958819726,1.895610883817948,52598
2021-03-30,0 days 00:18:03.526755368,1.9293132587988184,65613
2021-03-31,0 days 00:16:54.799832532,1.8389046965813616,45382
2021-04-01,0 days 00:16:23.175719902,1.7957329953558223,45527
2021-04-02,0 days 00:17:02.641054376,1.7646957218999024,42831
2021-04-03,0 days 00:20:20.927341631,2.0538652445465035,61218
2021-04-04,0 days 00:23:01.968532407,2.0823117151972084,63335
2021-04-05,0 days 00:17:26.922440234,1.9674212320425264,68141
2021-04-06,0 days 00:18:42.283397835,2.009843556627853,76225
2021-04-07,0 days 00:18:19.612602986,2.0186141621650053,77680
2021-04-08,0 days 00:19:18.607710417,2.0449013465954953,81552
2021-04-09,0 days 00:19:04.192016073,1.9794746818954627,68187
2021-04-10,0 days 00:25:07.617927759,2.134874793933802,87596
2021-04-11,0 days 00:16:37.589123416,1.7224471867104783,20135
2021-04-12,0 days 00:14:22.164442595,1.7643982757150587,33647
2021-04-13,0 days 00:18:15.882158562,2.025374143805126,78682
2021-04-14,0 days 00:17:18.682286270,2.0185743006608656,80113
2021-04-15,0 days 00:15:39.438665536,1.8576136112830515,33032
2021-04-16,0 days 00:15:48.444592183,1.8840023063582643,59414
2021-04-17,0 days 00:22:00.283712649,2.0811907975515345,77508
2021-04-18,0 days 00:21:53.050674502,2.1066597742330235,80652
2021-04-19,0 days 00:17:22.090712328,1.9780699152546373,73000
2021-04-20,0 days 00:19:44.703846633,2.027593371252892,96136
2021-04-21,0 days 00:15:19.080580920,1.897397636607833,61764
2021-04-22,0 days 00:14:21.584753331,1.8405608348080174,57101
2021-04-23,0 days 00:17:59.432246687,1.9729198406412365,82793
2021-04-24,0 days 00:24:21.767114074,2.1928783885860224,104081
2021-04-25,0 days 00:20:15.348231230,1.930408643679154,58487
2021-04-26,0 days 00:16:15.816726673,1.9508463153863498,71658
2021-04-27,0 days 00:16:28.512893334,1.9965051336320552,79576
2021-04-28,0 days 00:19:05.669746389,2.0533109617856193,96329
2021-04-29,0 days 00:16:01.555557129,1.9228757452752705,70576
2021-04-30,0 days 00:17:24.537060215,1.9145508262746183,80693
2021-05-01,0 days 00:23:02.897145626,2.1177118865966054,92840
2021-05-02,0 days 00:24:02.821306207,2.0974651380325597,93982
2021-05-03,0 days 00:15:11.553221219,1.907609047261647,60831
2021-05-04,0 days 00:17:45.509837497,2.004481434523545,87014
2021-05-05,0 days 00:14:38.032442863,1.8781174894210126,49749
2021-05-06,0 days 00:18:12.138966622,2.0197595873180743,93267
2021-05-07,0 days 00:16:28.692425770,1.9800019804897893,91204
2021-05-08,0 days 00:17:30.490871667,1.8989079191874152,59759
2021-05-09,0 days 00:18:15.549299472,1.9894124456293882,53317
2021-05-10,0 days 00:14:57.700345641,1.9188926741815406,71172
2021-05-11,0 days 00:15:51.862627555,1.9895167862634613,89079
2021-05-12,0 days 00:16:27.424618401,2.0003288467376326,94864
2021-05-13,0 days 00:17:42.388377656,2.021486805866044,100737
2021-05-14,0 days 00:19:06.716893276,2.025033290099139,107380
2021-05-15,0 days 00:22:32.919728954,2.1339889987966454,118947
2021-05-16,0 days 00:22:26.857439930,2.0687739040846203,97138
2021-05-17,0 days 00:18:43.338924342,2.0054839240804867,95272
2021-05-18,0 days 00:17:55.830560829,2.027546503812415,105861
2021-05-19,0 days 00:18:00.341316220,2.02357921248711,109860
2021-05-20,0 days 00:17:20.744710925,2.0296193381114795,108242
