date,weatherDescription,avgTemp,totalPrecip,avgBikeDuration,avgBikeDistance,totalBikeTrips,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-01-01,Heavy Rain,34.1,6.7,1273.0,1.8756365059148081,18790.0,855,5.762586497063682,24827
2021-01-02,Heavy Rain,42.6,3.8,1208.0,2.0785241901461617,41195.0,946,5.539014394368825,34309
2021-01-03,Snowing,34.8,7.0,1029.0,1.6345257858833158,14578.0,912,15.691055836933005,26345
2021-01-04,Snowing,36.8,1.3,889.0,1.8618838110454072,36745.0,853,6.258865064007184,44545
2021-01-05,Clear,36.4,0.0,878.0,1.8887536247985195,38525.0,838,6.514547557802901,46880
2021-01-06,Clear,34.7,0.0,881.0,1.8815713433791497,37929.0,826,7.824177002865965,49547
2021-01-07,Clear,34.1,0.0,844.0,1.8697243892095128,37971.0,850,6.252605911930803,50290
2021-01-08,Clear,31.4,0.0,985.0,1.8329489113232529,37138.0,836,6.10409555046853,50477
2021-01-09,Clear,31.4,0.0,1003.0,1.8845476150383087,34643.0,848,8.311769923184084,39911
2021-01-10,Clear,32.8,0.0,1053.0,1.954497886668288,35366.0,829,8.302190204347681,29855
2021-01-11,Clear,30.7,0.0,846.0,1.8383590832829253,36106.0,822,9.308900185207797,46849
2021-01-12,Clear,31.5,0.0,951.0,1.9104754650142253,42298.0,840,4.449513555813536,50133
2021-01-13,Clear,33.3,0.0,942.0,1.8981585692224912,42522.0,832,9.454390695485907,51306
2021-01-14,Clear,36.8,0.0,985.0,1.9214762396754208,47832.0,849,6.811541333267987,53051
2021-01-15,Heavy Rain,37.6,4.9,942.0,1.8629128559078905,40508.0,742,4.468680455718165,53024
2021-01-16,Heavy Rain,42.7,19.9,1014.0,1.9901025997777069,41189.0,790,15.504485793264985,38723
2021-01-17,Clear,37.4,0.0,1100.0,1.9936306055212056,38831.0,782,5.247054198142879,31985
2021-01-18,Light Rain,36.6,0.1,982.0,1.9753831462849458,42740.0,783,4.919460206605199,37092
2021-01-19,Clear,34.0,0.0,813.0,1.8736397814768304,40592.0,842,6.088375270726701,51149
2021-01-20,Snowing,31.7,0.1,813.0,1.8288601256435413,36251.0,807,8.93309681467322,49437
2021-01-21,Clear,30.8,0.0,925.0,1.8954820704296904,40897.0,881,5.200775222060812,53280
2021-01-22,Clear,34.9,0.0,901.0,1.8900205075836058,44037.0,875,4.3402000965570595,54285
2021-01-23,Clear,28.4,0.0,955.0,1.842001322649777,32137.0,801,4.448788025904789,42054
2021-01-24,Clear,26.2,0.0,965.0,1.7954273627486472,27353.0,769,5.218840748712661,31033
2021-01-25,Clear,29.5,0.0,815.0,1.8066812193733581,36060.0,837,4.5046920795647685,47423
2021-01-26,Snowing,32.2,2.3,765.0,1.7953539130904257,27375.0,838,8.53027304812832,47818
2021-01-27,Snowing,33.6,0.8,812.0,1.8828988819388848,38982.0,832,4.233632712513532,52655
2021-01-28,Clear,27.4,0.0,781.0,1.7861421069614891,34137.0,888,13.562045380483312,56444
2021-01-29,Clear,19.5,0.0,731.0,1.5916774623745087,23566.0,856,15.763227402395518,54602
2021-01-30,Clear,21.7,0.0,935.0,1.7445135401033396,27330.0,808,4.488720115453828,39233
2021-01-31,Snowing,23.1,0.0,1049.0,1.6403491050731651,21723.0,752,10.756712851431868,31183
